job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,class
9,1,5,1,2,0,1,6,1,1,55,135,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,1,6,1,0,2,1,6,1,1,50,161,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,1,2,0,1,6,1,1,45,787,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
10,1,5,1,2,2,1,6,1,1,55,145,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,2,6,0,2,0,1,6,1,1,25,174,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
2,1,6,1,0,0,1,6,1,1,47,449,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,2,0,2,0,1,6,1,1,51,812,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,1,1,2,0,1,6,1,1,42,164,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,1,1,0,0,1,6,1,1,42,366,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,3,0,0,0,1,6,1,1,48,357,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,6,0,0,0,1,6,1,1,37,232,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,2,2,0,2,0,1,6,1,1,44,91,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,7,0,2,0,1,6,1,1,33,273,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,2,0,2,0,1,6,1,1,56,158,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,2,0,1,2,2,1,6,1,1,44,177,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,1,1,0,0,0,1,6,1,1,41,200,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,0,6,0,2,0,1,6,1,1,44,172,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,6,1,2,0,1,6,1,1,47,176,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
11,1,7,1,0,0,1,6,1,1,57,211,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,6,1,2,0,1,6,1,1,37,214,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,0,0,1,2,0,1,6,1,1,41,1575,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1
9,1,6,0,0,0,1,6,1,1,55,349,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,1,2,0,1,6,1,1,33,337,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,1,7,1,2,0,1,6,1,1,55,272,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,2,1,0,0,1,6,1,1,42,208,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,1,2,0,1,6,1,1,50,193,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,1,1,1,1,6,1,1,51,212,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,3,1,0,0,1,6,1,1,38,165,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
2,1,6,1,2,0,1,6,1,1,49,1042,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1
9,2,6,0,0,2,1,6,1,1,38,20,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,0,3,0,0,0,1,6,1,1,31,246,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,1,1,0,0,0,1,6,1,1,41,529,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,6,0,2,2,1,6,1,1,39,192,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,2,0,0,0,1,6,1,1,49,1467,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1
0,1,3,0,2,0,1,6,1,1,34,188,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,6,0,2,0,1,6,1,1,35,180,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
11,1,7,1,2,0,1,6,1,1,57,48,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,7,1,0,2,1,6,1,1,60,213,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
10,1,2,0,0,0,1,6,1,1,33,545,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,1,0,0,2,1,6,1,1,42,583,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,5,0,2,0,1,6,1,1,45,221,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,1,6,0,0,0,1,6,1,1,42,426,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,0,6,1,0,0,1,6,1,1,53,287,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,2,5,0,0,0,1,6,1,1,37,197,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,1,0,0,0,1,6,1,1,44,257,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,7,0,2,0,1,6,1,1,54,229,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,0,0,0,1,6,1,1,49,55,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,7,0,0,0,1,6,1,1,54,400,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,0,6,0,0,0,1,6,1,1,52,197,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,0,6,0,0,0,1,6,1,1,52,190,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,2,3,1,0,0,1,6,1,1,43,21,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
3,1,1,0,2,0,1,6,1,1,34,300,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,3,0,2,0,1,6,1,1,35,123,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
2,1,7,1,2,0,1,6,1,1,42,293,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,7,1,2,2,1,6,1,1,43,325,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
5,0,6,1,0,0,1,6,1,1,60,514,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
10,1,0,1,0,0,1,6,1,1,58,849,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,0,3,0,2,0,1,6,1,1,35,194,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,2,1,2,0,1,6,1,1,55,212,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,1,6,0,0,0,1,6,1,1,37,337,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,3,0,0,0,1,6,1,1,36,286,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,0,6,0,0,0,1,6,1,1,52,247,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,0,7,1,2,0,1,6,1,1,57,518,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,7,0,2,0,1,6,1,1,56,364,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,0,0,1,2,0,1,6,1,1,48,178,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,3,1,2,0,1,6,1,1,40,98,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,0,3,0,0,0,1,6,1,1,49,439,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,0,0,0,1,6,1,1,41,139,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,3,0,2,0,1,6,1,1,45,79,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,6,0,2,2,1,6,1,1,32,175,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,6,0,0,2,1,6,1,1,42,262,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,1,0,0,0,1,6,1,1,50,61,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,0,5,0,2,2,1,6,1,1,31,78,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
5,1,0,0,2,0,1,6,1,1,56,102,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,5,1,2,0,1,6,1,1,41,579,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1
1,1,1,0,2,2,1,6,1,1,37,143,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,5,1,0,0,1,6,1,1,41,677,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,7,0,2,0,1,6,1,1,35,267,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,1,0,2,0,1,6,1,1,37,345,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,1,6,0,0,0,1,6,1,1,52,185,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,0,6,0,0,0,1,6,1,1,39,207,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
3,1,0,1,0,0,1,6,1,1,39,69,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,1,0,0,1,6,1,1,56,100,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,0,2,0,1,6,1,1,34,125,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,2,1,2,0,1,6,1,1,45,461,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1
10,2,6,0,2,0,1,6,1,1,43,240,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,1,7,0,2,0,1,6,1,1,56,70,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,1,6,0,2,0,1,6,1,1,39,193,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,0,2,0,1,6,1,1,53,136,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
11,0,3,1,2,0,1,6,1,1,38,73,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,1,2,0,1,6,1,1,42,528,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,1,0,0,1,6,1,1,42,541,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,2,3,0,2,0,1,6,1,1,35,338,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,6,1,2,0,1,6,1,1,40,163,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,0,2,0,1,6,1,1,51,87,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,2,1,0,0,1,6,1,1,60,301,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
2,1,7,1,2,0,1,6,1,1,56,46,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,0,3,1,2,0,1,6,1,1,39,52,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
2,1,7,1,0,0,1,6,1,1,56,204,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,7,0,2,2,1,6,1,1,40,155,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,2,0,2,2,1,6,1,1,36,98,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,7,1,2,0,1,6,1,1,51,71,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,7,1,0,0,1,6,1,1,51,243,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,2,5,0,2,0,1,6,1,1,43,186,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,0,0,0,1,6,1,1,59,579,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,2,6,0,2,0,1,6,1,1,24,165,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,2,2,1,2,2,1,6,1,1,37,163,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,2,1,0,0,1,6,1,1,40,46,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,2,1,0,0,1,6,1,1,42,559,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,0,3,1,0,0,1,6,1,1,39,2033,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
2,1,1,0,0,0,1,6,1,1,37,85,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,0,2,2,1,6,1,1,38,506,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,0,7,1,0,0,1,6,1,1,56,114,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,7,0,0,0,1,6,1,1,40,114,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,0,6,0,2,0,1,6,1,1,54,843,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,3,1,0,2,1,6,1,1,43,181,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,1,0,0,1,6,1,1,36,427,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,6,0,2,2,1,6,1,1,45,292,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,2,6,1,0,0,1,6,1,1,42,192,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,0,0,0,1,6,1,1,43,93,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,1,2,0,0,0,1,6,1,1,46,128,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,0,2,2,1,6,1,1,44,107,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,2,1,0,0,0,1,6,1,1,51,303,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,0,2,0,1,6,1,1,28,81,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,2,0,0,0,1,6,1,1,37,270,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,3,0,0,0,1,6,1,1,34,228,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,1,1,2,0,1,6,1,1,46,240,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,2,0,2,2,1,6,1,1,42,673,2,999,0,1.1,93.994,-36.4,4.857,5191.0,1
0,1,6,0,2,0,1,6,1,1,36,233,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,1,0,0,1,6,1,1,54,102,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,1,6,0,0,0,1,6,1,1,57,461,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,1,1,0,0,1,6,1,1,51,250,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
5,1,3,1,0,0,1,6,1,1,54,130,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,1,0,0,1,6,1,1,49,252,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,6,0,2,0,1,6,1,1,34,138,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,5,0,0,0,1,6,1,1,41,412,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,2,2,0,2,0,1,6,1,1,38,179,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,0,6,0,0,0,1,6,1,1,45,19,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,6,0,0,0,1,6,1,1,42,228,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,2,2,1,2,0,1,6,1,1,34,55,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,0,2,0,1,6,1,1,48,717,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,3,1,2,0,1,6,1,1,37,313,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,2,2,1,0,0,1,6,1,1,34,289,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,2,1,2,0,1,6,1,1,40,683,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,1,0,2,0,1,6,1,1,43,1077,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,0,0,0,1,6,1,1,33,146,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,2,1,0,0,0,1,6,1,1,32,167,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,3,0,2,0,1,6,1,1,39,356,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,7,0,0,0,1,6,1,1,43,277,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,2,0,2,0,1,6,1,1,44,172,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
8,2,6,1,0,0,1,6,1,1,35,218,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
8,2,6,1,2,2,1,6,1,1,35,217,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
10,1,5,0,0,0,1,6,1,1,35,67,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,2,0,0,0,0,1,6,1,1,36,291,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
8,2,6,1,2,0,1,6,1,1,35,248,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
8,2,2,0,2,0,1,6,1,1,36,256,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
3,0,6,0,0,0,1,6,1,1,55,286,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,6,0,0,0,1,6,1,1,59,477,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
5,1,7,1,0,0,1,6,1,1,57,611,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,5,1,2,0,1,6,1,1,39,471,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
3,1,0,1,2,0,1,6,1,1,39,381,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,2,7,0,2,0,1,6,1,1,30,251,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,2,7,0,2,2,1,6,1,1,30,408,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
3,1,0,1,0,0,1,6,1,1,50,287,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,0,0,0,1,6,1,1,40,322,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,3,0,2,0,1,6,1,1,35,216,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,7,1,0,0,1,6,1,1,43,366,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,2,1,1,2,0,1,6,1,1,36,210,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,0,1,2,0,1,6,1,1,46,288,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,2,0,0,0,1,6,1,1,40,168,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
5,1,6,0,0,0,1,6,1,1,58,132,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,6,0,0,0,1,6,1,1,42,64,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,2,6,0,0,0,1,6,1,1,35,209,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
5,1,0,1,0,0,1,6,1,1,43,410,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,0,2,2,1,6,1,1,45,177,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,5,0,2,0,1,6,1,1,39,580,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,0,5,0,2,0,1,6,1,1,50,165,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,0,0,1,2,0,1,6,1,1,32,127,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,3,1,0,0,1,6,1,1,39,357,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
6,1,6,1,0,0,1,6,1,1,52,175,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,5,0,2,0,1,6,1,1,44,300,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,0,0,0,1,6,1,1,56,136,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,3,0,0,0,1,6,1,1,48,125,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,1,0,2,1,6,1,1,33,189,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,1,6,1,0,2,1,6,1,1,43,213,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0
5,1,3,0,0,0,1,6,1,1,57,238,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,2,5,0,0,0,1,6,1,1,36,124,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,1,6,0,2,0,1,6,1,1,34,18,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,2,2,0,0,0,1,6,1,1,34,730,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,6,1,0,0,1,6,1,1,30,40,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,0,7,0,0,0,1,6,1,1,33,181,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,2,5,0,0,0,1,6,1,1,32,79,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,2,3,0,2,0,1,6,1,1,36,142,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,2,3,0,0,2,1,6,1,1,36,389,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,2,3,0,0,0,1,6,1,1,33,702,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,0,5,0,0,0,1,6,1,1,40,151,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,0,2,0,1,6,1,1,41,211,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,1,0,2,0,1,6,1,1,51,117,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,5,0,2,0,1,6,1,1,36,232,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,7,0,0,0,1,6,1,1,28,408,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
